they | они/их
were | были 
still | еще 
a half day’s | в полудне
ride | езды
from | до
camp | лагеря
when | когда
were taken | встретили
had ranged ahead | отправился
to scout | на разведку
and | и
he | он
came galloping back | примчался галопом назад
with word of | с вестью о том, что
a far-eyes | караульный
watching from | наблюдает 
the roof of | с крыши
a distant | дальней
windmill | ветряной мельницы
by the time | когда
party | отряд
reached | добрался до
the mill | мельницы
the man | мужчина
was long gone | давно исчез
pressed on | двинулись дальше
covering | преодолев
not quite a mile | не более мили
before | прежде чем
outriders | передовой дозор
came swooping down | налетел
on them | на них
twenty | двадцать
men | мужчин
mailed | в кольчугах
mounted | конные
led by | возглавляемые
a grizzled greybeard of | седобородым
a knight | рыцарем
with bluejays | с синими сойками 
on his | на его
surcoat | сюрко
